method,regime,T,p,noise,seed,precision,recall,f1,auc,mse
Ledoit-Wolf,periodic,160,10,0.3,2,0.14738292011019283,0.8289256198347108,0.25018044156800134,0.5786972909139192,0.01735059734301999
tv-gVAR,periodic,160,10,0.3,3,0.3358965062512491,0.5162004662004662,0.3990381028736021,0.7124526612087467,0.005435041516068247
stationary-gVAR,periodic,160,10,0.3,3,0.33333333333333337,0.08553719008264464,0.13606393606393608,0.6941318541929877,0.005148967753091358
Ledoit-Wolf,periodic,160,10,0.3,3,0.1534090909090909,0.8371900826446281,0.2592094486831329,0.6560243367104701,0.01539229055340638
tv-gVAR,periodic,160,10,0.3,4,0.3190768726980631,0.5714452214452215,0.40218307051684266,0.7534925693153541,0.005229348760581143
stationary-gVAR,periodic,160,10,0.3,4,0.75,0.25661157024793385,0.3821428571428572,0.6425758950485648,0.0051253342092357265
Ledoit-Wolf,periodic,160,10,0.3,4,0.12967914438502673,0.7516528925619835,0.22112138915936386,0.5944531432319119,0.01552539915592872
tv-gVAR,periodic,160,10,0.5,0,0.18101267061442144,0.708974358974359,0.2881253947699894,0.7142269631942221,0.011372847574712054
stationary-gVAR,periodic,160,10,0.5,0,0.22314049586776855,0.41859504132231407,0.2909171933236104,0.6771584471339938,0.0073722770281356795
Ledoit-Wolf,periodic,160,10,0.5,0,0.10606060606060605,0.5987603305785124,0.18012848395623515,0.5543843297094161,0.017567317462055324
tv-gVAR,periodic,160,10,0.5,1,0.17005757198811017,0.6938228438228438,0.2728095822821452,0.6450000009457166,0.01197837675184271
stationary-gVAR,periodic,160,10,0.5,1,0.24000000000000005,0.5132231404958677,0.3268281268281269,0.7101987102368287,0.007420122871813806
Ledoit-Wolf,periodic,160,10,0.5,1,0.18881118881118883,0.8371900826446281,0.30800225759903177,0.7452971424432875,0.015335457778704896
tv-gVAR,periodic,160,10,0.5,2,0.15411595974697875,0.5748251748251748,0.24205018052769395,0.6106155532366584,0.011011835770553027
stationary-gVAR,periodic,160,10,0.5,2,0.21717171717171715,0.3330578512396694,0.26274070756829376,0.6405475005431852,0.006842090777815311
Ledoit-Wolf,periodic,160,10,0.5,2,0.14738292011019283,0.8289256198347108,0.25018044156800134,0.5738339070308288,0.017365400758555236
tv-gVAR,periodic,160,10,0.5,3,0.19626520179853013,0.7301864801864801,0.3086792744383151,0.693460205473959,0.010438405452774349
stationary-gVAR,periodic,160,10,0.5,3,0.29999999999999993,0.5132231404958677,0.3783724340175953,0.7211303584217854,0.006001610954434356
Ledoit-Wolf,periodic,160,10,0.5,3,0.1534090909090909,0.8371900826446281,0.2592094486831329,0.6561289501637603,0.015405225958492813
tv-gVAR,periodic,160,10,0.5,4,0.2080861568405442,0.7738927738927739,0.32715822551239077,0.7580376748913751,0.010736004118314975
stationary-gVAR,periodic,160,10,0.5,4,0.2380952380952381,0.42768595041322316,0.3056684884030925,0.6180325528901478,0.006480944351635613
Ledoit-Wolf,periodic,160,10,0.5,4,0.12967914438502673,0.7516528925619835,0.22112138915936386,0.5955455189229641,0.015538188320625786
tv-gVAR,periodic,320,6,0.3,0,0.6245726495726497,0.5746336996336996,0.5813454644902609,0.7871750833707356,0.005808584094744587
stationary-gVAR,periodic,320,6,0.3,0,0.6666666666666667,0.25757575757575757,0.37098255280073467,0.595270890725436,0.014550433973481193
Ledoit-Wolf,periodic,320,6,0.3,0,0.2,0.5151515151515151,0.2877122877122877,0.4347451790633609,0.030214830490286847
tv-gVAR,periodic,320,6,0.3,1,0.493006993006993,0.5663919413919414,0.5155641915703836,0.7295703994073558,0.006093229513535043
stationary-gVAR,periodic,320,6,0.3,1,1.0,0.12878787878787878,0.227994227994228,0.5775080348943986,0.014707251476837546
Ledoit-Wolf,periodic,320,6,0.3,1,0.2644628099173553,0.7424242424242423,0.3896103896103896,0.5405762167125805,0.033174171485854116
tv-gVAR,periodic,320,6,0.3,2,0.6645188145188144,0.636904761904762,0.6423580587071894,0.8011071054549315,0.004571354594363722
stationary-gVAR,periodic,320,6,0.3,2,0.0,0.0,0.0,0.6793216253443528,0.014642445734465447
Ledoit-Wolf,periodic,320,6,0.3,2,0.2792207792207792,1.0,0.4361259655377303,0.5184228650137741,0.02974651326274471
tv-gVAR,periodic,320,6,0.3,3,0.656870479947403,0.49267399267399264,0.532396663165894,0.7605368665151274,0.006591164380320384
stationary-gVAR,periodic,320,6,0.3,3,0.0,0.0,0.0,0.6004361799816346,0.014897984034143497
Ledoit-Wolf,periodic,320,6,0.3,3,0.27272727272727265,0.7727272727272727,0.4025974025974026,0.5010330578512395,0.03263108942941742
tv-gVAR,periodic,320,6,0.3,4,0.6570512820512822,0.4880952380952381,0.5414936873081668,0.7095510166162341,0.006790847077083702
stationary-gVAR,periodic,320,6,0.3,4,1.0,0.12878787878787878,0.227994227994228,0.6196338383838383,0.014734799036175755
Ledoit-Wolf,periodic,320,6,0.3,4,0.30991735537190085,0.8712121212121212,0.4567099567099567,0.6192033976124885,0.03244802407930693
tv-gVAR,periodic,320,6,0.5,0,0.4418170567491835,0.701007326007326,0.5363079800951653,0.7908548275396101,0.006515398627290763
stationary-gVAR,periodic,320,6,0.5,0,0.5,0.38636363636363635,0.43506493506493504,0.7486225895316804,0.014885197289357882
Ledoit-Wolf,periodic,320,6,0.5,0,0.2,0.5151515151515151,0.2877122877122877,0.4347451790633609,0.030233247590289423
tv-gVAR,periodic,320,6,0.5,1,0.33823260073260075,0.7069597069597069,0.45515924931563273,0.7143374439570093,0.008644217267422464
stationary-gVAR,periodic,320,6,0.5,1,0.375,0.38636363636363635,0.3798701298701299,0.6376262626262627,0.01567145966144766
Ledoit-Wolf,periodic,320,6,0.5,1,0.2644628099173553,0.7424242424242423,0.3896103896103896,0.5463728191000917,0.03319501674037099
tv-gVAR,periodic,320,6,0.5,2,0.40581278324491,0.7651098901098901,0.526624977497442,0.7830888917845441,0.005741152339542681
stationary-gVAR,periodic,320,6,0.5,2,0.75,0.38636363636363635,0.509090909090909,0.5487832874196511,0.014589950366814314
Ledoit-Wolf,periodic,320,6,0.5,2,0.2792207792207792,1.0,0.4361259655377303,0.5126262626262627,0.02976402515387032
tv-gVAR,periodic,320,6,0.5,3,0.48803480594978577,0.6735347985347985,0.5480189167202085,0.7649537962037962,0.007322011845633614
stationary-gVAR,periodic,320,6,0.5,3,0.7818181818181817,0.5,0.6090273363000634,0.6694788797061523,0.015043799133442969
Ledoit-Wolf,periodic,320,6,0.5,3,0.27272727272727265,0.7727272727272727,0.4025974025974026,0.5184228650137741,0.032651559123273007
tv-gVAR,periodic,320,6,0.5,4,0.3883686825994518,0.5554029304029304,0.4532609805055626,0.6984185802120586,0.007478994939476393
stationary-gVAR,periodic,320,6,0.5,4,0.4772727272727273,0.2424242424242424,0.3212121212121212,0.565771349862259,0.014947456691777446
Ledoit-Wolf,periodic,320,6,0.5,4,0.30991735537190085,0.8712121212121212,0.4567099567099567,0.6134067952249769,0.03247085017913991
tv-gVAR,periodic,320,10,0.3,0,0.47221233392047873,0.5048951048951049,0.48125860146849647,0.7774742746164361,0.0027160950869785597
stationary-gVAR,periodic,320,10,0.3,0,1.0,0.1696969696969697,0.29004329004329,0.6081993006993007,0.0051720444832776165
Ledoit-Wolf,periodic,320,10,0.3,0,0.11111111111111112,0.509090909090909,0.18233471074380167,0.5698144910644911,0.014848368734374943
tv-gVAR,periodic,320,10,0.3,1,0.42144775221258235,0.5029137529137528,0.45101365116145564,0.768469915146522,0.00299295425715087
stationary-gVAR,periodic,320,10,0.3,1,0.5,0.08484848484848485,0.145021645021645,0.6730910062160063,0.005270272110904579
Ledoit-Wolf,periodic,320,10,0.3,1,0.15835777126099707,0.8303030303030302,0.2659022659022659,0.6386897824397825,0.01376447284597995
tv-gVAR,periodic,320,10,0.3,2,0.29879313748092023,0.33764568764568764,0.31463754738578864,0.6792508723290124,0.003783233098355515
stationary-gVAR,periodic,320,10,0.3,2,0.6666666666666667,0.1696969696969697,0.2703962703962704,0.6368308080808082,0.005277067765933475
Ledoit-Wolf,periodic,320,10,0.3,2,0.196969696969697,1.0,0.329004329004329,0.7497727272727274,0.01424878037731004
tv-gVAR,periodic,320,10,0.3,3,0.4460522661165672,0.4420745920745921,0.4388171846531377,0.760422326780652,0.00253511350426491
stationary-gVAR,periodic,320,10,0.3,3,0.0,0.0,0.0,0.6272727272727273,0.005261734253813193
Ledoit-Wolf,periodic,320,10,0.3,3,0.15151515151515155,0.8484848484848485,0.2570236780763096,0.6195736208236209,0.013691050133381039
tv-gVAR,periodic,320,10,0.3,4,0.46307895321053216,0.5791375291375291,0.5070035531811342,0.8285607923667807,0.0028022857103538355
stationary-gVAR,periodic,320,10,0.3,4,1.0,0.2545454545454545,0.4055944055944056,0.6643861693861693,0.005102539236689014
Ledoit-Wolf,periodic,320,10,0.3,4,0.1290322580645161,0.6787878787878788,0.21676221676221677,0.5000301087801087,0.01582721435713539
tv-gVAR,periodic,320,10,0.5,0,0.258306642327563,0.674009324009324,0.3717785597741046,0.7482106119429635,0.004377481758353544
stationary-gVAR,periodic,320,10,0.5,0,0.4444444444444445,0.3393939393939394,0.3845978582820688,0.6932022144522145,0.0055427536619371935
Ledoit-Wolf,periodic,320,10,0.5,0,0.11111111111111112,0.509090909090909,0.18233471074380167,0.5708993783993783,0.014859244571978692
tv-gVAR,periodic,320,10,0.5,1,0.24961063320791824,0.695104895104895,0.366083332846079,0.7566452967810076,0.0047589575079488204
stationary-gVAR,periodic,320,10,0.5,1,0.4285714285714286,0.509090909090909,0.46503496503496505,0.7107876845376846,0.005445213387760696
Ledoit-Wolf,periodic,320,10,0.5,1,0.15835777126099707,0.8303030303030302,0.2659022659022659,0.6386897824397825,0.013773004712020637
tv-gVAR,periodic,320,10,0.5,2,0.21597397115509423,0.6016317016317015,0.3164118680192962,0.6780214463941339,0.005876914624723187
stationary-gVAR,periodic,320,10,0.5,2,0.32575757575757575,0.3303030303030303,0.3278236914600551,0.6586271367521369,0.005910020293698165
Ledoit-Wolf,periodic,320,10,0.5,2,0.196969696969697,1.0,0.329004329004329,0.7497727272727274,0.014257760467202358
tv-gVAR,periodic,320,10,0.5,3,0.2512888808699513,0.68997668997669,0.3676384067297907,0.7479287046935538,0.0044913370821676075
stationary-gVAR,periodic,320,10,0.5,3,0.27272727272727265,0.2545454545454545,0.2631281761716544,0.731777874902875,0.00553164484545687
Ledoit-Wolf,periodic,320,10,0.5,3,0.15151515151515155,0.8484848484848485,0.2570236780763096,0.6206585081585083,0.013700002870435057
tv-gVAR,periodic,320,10,0.5,4,0.2789505095252799,0.8034965034965036,0.412020371819399,0.8277562688717753,0.005116891392813129
stationary-gVAR,periodic,320,10,0.5,4,0.6666666666666667,0.509090909090909,0.5768967874231031,0.7567560217560216,0.005100857460988064
Ledoit-Wolf,periodic,320,10,0.5,4,0.1290322580645161,0.6787878787878788,0.21676221676221677,0.5000301087801087,0.015838458636053623
